2004.02.05 19:11 B C:\Documents and Settings\All Users\Documents\sbsc360sSp2002\pdf_files\sbsc360sSyllabusSp02.log <-- ASTV /Courses/sbsc360sSp2002/pdf_files sbsc360sSyllabusSp02.log
2004.02.05 19:11 B C:\Documents and Settings\All Users\Documents\sbsc360sSp2002\pdf_files\sbsc360sSyllabusSp02.pdf <-- ASTV /Courses/sbsc360sSp2002/pdf_files sbsc360sSyllabusSp02.pdf
2004.02.05 21:39 B C:\Documents and Settings\All Users\Documents\sbsc360sSp2002\pdf_files\WS_FTP.LOG --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files WS_FTP.LOG
2004.08.27 05:51 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\WS_FTP.LOG <-- Ipswitch /Courses/sbsc360sSp2002/pdf_files WS_FTP.LOG
2004.08.27 07:22 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\ArchLabExercises.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files ArchLabExercises.pdf
2004.08.27 07:23 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\ArchLabNotebook.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files ArchLabNotebook.pdf
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\LetterIntentGuidelines.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files LetterIntentGuidelines.pdf
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\PersonalStatementGuidelines.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files PersonalStatementGuidelines.pdf
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\PosterSessionsGuide.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files PosterSessionsGuide.pdf
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\sbs360sFieldJournalRating.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files sbs360sFieldJournalRating.pdf
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\sbs360sSyllabusFieldArchF04.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files sbs360sSyllabusFieldArchF04.pdf
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\sbsc360sSyllabusSp02.log --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files sbsc360sSyllabusSp02.log
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\sbsc360sSyllabusSp02.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files sbsc360sSyllabusSp02.pdf
2004.08.27 07:24 B C:\Documents and Settings\rmendoza\Desktop\sbsc360sSp2002\pdf_files\TermPaperFormat.pdf --> archaeology.csumb.edu /Courses/sbsc360sSp2002/pdf_files TermPaperFormat.pdf
